CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
KENCHIC FROZEN,24/08/2023,KSIN4687220,0020594590000077231,5624.31,899.89
PEMBE FLOUR MILLS,22/08/2023,10318230,011039700000041914,6922.81,1107.65
SAI PHARMACEUTICALS K LIMITED SR,24/08/2023,231000452,0110166380000007338,12213.88,1954.22
EQUATORIAL NUTS PROCESSORS LTD,23/08/2023,427233,0040227860000001121,5384.56,861.53
GITHUNGURI DAIRY FARMERS,29/08/2023,P1870776 /INV,0190431800000202064,1077.75,172.44
MOHANS OYSTERBAY DRINKS  KENYA,23/08/2023,16593,0010193420000012365,10319.0,1651.04
KEVIAN KENYA LTD,24/08/2023,KKL02074418,0040092770000018563,23416.81,3746.69
PONDERS LIMITED,24/08/2023,NKR-21454,0190978590000031201,93442.56,14950.81
NEW KCC LTD,30/08/2023,95120472,0190428630000011570,2660.19,425.63
MANJI FOOD INDUSTRIES LTD,28/08/2023,NI2308000188,0171744520000001593,50880.63,8140.9
GLACIER PRODUCTS LTD G P,14/08/2023,443857,0190438080000029671,4422.44,707.59
SALIM WAZARAN KENYA CO. LTD,24/08/2023,SDM-PSI0234976,0040095340000007469,23359.69,3737.55
NOBLE OUTLOOK LIMITED,22/08/2023,22303,0111778860000000921,149735.88,23957.74
NEW KCC LTD,29/08/2023,95119933,0190428740000100976,12743.44,2038.95
OZ FOODS AND BEVERAGES LTD,28/08/2023,22261,0110606400000001116,19319.06,3091.05
MOONSUN PICTURES INTER LTD,24/08/2023,W2023561,0170501730000001016,3000.0,480.0
RADBONE CLARK  K  LTD,29/08/2023,271554,0010195890000025441,23462.5,3754.0
KENYA BREWERIES LTD,25/08/2023,9501459161,0110396000000058864,173920.5,27827.28
NOBLE OUTLOOK LIMITED,22/08/2023,22307,0111778860000000887,181730.69,29076.91
MUSTY DISTRIBUTION LIMITED,28/08/2023,4100443566,0041176560000003144,78677.56,12588.41
CHANDARIA INDUSTRIES LTD MACCOFFEE,28/08/2023,1543684,0110167020000173696,2738.06,438.09
AQUAMIST LIMITED,29/08/2023,90234451,0110392400000070980,129112.81,20658.05
HIGHLANDS DRINKS LIMITED,28/08/2023,372324974,0110164390000017974,1493.13,238.9
HIGHLANDS DRINKS LIMITED,26/08/2023,372324,0110164390000017974,1250.88,200.14
DPL FESTIVE  LIMITED,28/08/2023,5396821,0020108540000256611,3145.0,503.2
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,29/08/2023,9730264552,0040094810000166482,3594.25,575.08
KENAFRIC BAKERY LTD,30/08/2023,955418,0010195680000098587,264.0,42.24
KIM FAY EAST AFRICA LTD,29/08/2023,IN587310,0110167480000043619,28444.75,4551.16
MERIT AFRICA LTD,28/08/2023,127420,0110164060000011202,2100.0,336.0
MERIT AFRICA LTD 2ND ACCOUNT SR,28/08/2023,127421,0110164060000011201,5100.0,816.0
SUNVEAT FOODS LIMITED,28/08/2023,63773,0110159740000013579,19634.5,3141.52
DPL FESTIVE  LIMITED,29/08/2023,5401057,0020108550000331841,4263.81,682.21
GLACIER PRODUCTS LTD 2ND,28/08/2023,447731,0190979290000016306,3620.94,579.35
WORLD BRANDS K LTD HQ,29/08/2023,061415,0040094050000013043,17531.13,2804.98
DPL FESTIVE  LIMITED,29/08/2023,5398182,0020108550000330134,1568.0,250.88
BUDGET MEALS COMPANY LTD,28/08/2023,0524,0040552120000000524,3272.88,523.66
GLACIER PRODUCTS LTD G P,28/08/2023,447723,0190979210000028082,3530.19,564.83
KENAFRIC BAKERY LTD,29/08/2023,954528,0010195680000098081,90.0,14.4
BIO FOOD PRODUCTS LTD,29/08/2023,1065331,0190979930000002556,4067.56,650.81
SMART BRANDS LTD HQ,24/08/2023,IN-978620,0020115030000010097,34552.38,5528.38
NEW KCC LTD,30/08/2023,95120748,0190428740000101359,3724.56,595.93
GITHUNGURI DAIRY FARMERS,30/08/2023,P1870883/INV,0190431800000202225,3765.63,602.5
GITHUNGURI DAIRY FARMERS,29/08/2023,P1871127 /INV,0190431800000202169,819.38,131.1
BIO FOOD PRODUCTS LTD,30/08/2023,1062311,0190979930000002823,5515.88,882.54
DPL FESTIVE  LIMITED,29/08/2023,5401145,0020108550000331917,6841.69,1094.67
254 BREWING COMPANY LIMITED,26/08/2023,#INV-015194,0190443080000003101,13448.25,2151.72
BOWIP AGENCIES LTD,29/08/2023,169730,0020115770000006179,26185.31,4189.65
LAKI LAKI LIMITED,30/08/2023,145016,0090541950000003374,16510.19,2641.63
254 BREWING COMPANY LIMITED,11/08/2023,#INV-015032,0190443080000002956,4344.81,695.17
BUDGET MEALS COMPANY LTD,26/08/2023,0522,0040552120000000522,8004.0,1280.64
P Z CUSSONS AND COMPANY LTD HQ,25/08/2023,112306640,0110167920000008524,67986.06,10877.77
GREEN BUSH  E.A CO,30/08/2023,1288,0040241370000000134,10241.38,1638.62
NORDA INDUSTRIES LTD.,29/08/2023,INV202312562,0110396260000019164,11012.31,1761.97
NORDA INDUSTRIES LTD.,29/08/2023,INV202312568,0110396260000019171,3738.38,598.14
TROPICAL HEAT LTD,29/08/2023,536749,0020001120000034630,94171.38,15067.42
TOWFIQ  K  LIMITED HQ,30/08/2023,3133829,0020107030000321759,67214.75,10754.36
GITHUNGURI DAIRY FARMERS,29/08/2023,P1871217/INV,0190431800000202417,814.13,130.26
KENAFRIC BAKERY LTD,30/08/2023,955392,0010195680000098788,913.5,146.16
PWANI OIL PRODUCTS LTD.,29/08/2023,2351005049,0010193960000056468,66526.88,10644.3
254 BREWING COMPANY LIMITED,19/08/2023,INV-015111,0190443080000003025,8896.56,1423.45
AQUAMIST LIMITED,29/08/2023,90234492,0110392400000071033,28230.81,4516.93
COCA COLA NAIROBI BOTTLERS LIMITED,25/08/2023,1222319605,0110604280000066889,135947.06,21751.53
MZURI SWEETS LIMITED,24/08/2023,1040054,0110396680000012532,15500.69,2480.11
BOWIP AGENCIES LTD,29/08/2023,169720,0020115770000006169,8734.94,1397.59
PORTCROSS LTD  PC.,26/08/2023,INV54293,0110167320000008291,30851.5,4936.24
PONDERS LIMITED,22/08/2023,NBI-87417,0190429790000012547,10210.56,1633.69
GROUPACO HOLDINGS LTD,22/08/2023,GHL 9941,0190436350000004057,5339.0,854.24
254 BREWING COMPANY LIMITED,12/08/2023,INV-015042,0190443080000002963,4448.25,711.72
254 BREWING COMPANY LIMITED,26/08/2023,INV-015193,0190443080000003100,4344.81,695.17
EMETIC K  LTD SR,18/08/2023,27190,0010195570000002466,61385.75,9821.72
SAVANNAH BRANDS COMPANY LIMITED,11/08/2023,49149,0020112050000014530,42459.06,6793.45
C AND R FOOD INDUSTRIES LTD,24/08/2023,47170,0010193440000004143,33110.38,5297.66
NEW KCC LTD,29/08/2023,95119474,0190420600000016905,993.13,158.9
HOTPOINT APPLIANCES SR HQ,24/08/2023,IND407130,0020111410000037877,147410.38,23585.66
LABOREX KENYA LTD,22/08/2023,00-754348-00,0040095360000124020,1428.63,228.58
DPL FESTIVE  LIMITED,29/08/2023,5401113,0020108550000331893,4492.88,718.86
TAIFA  IMPORTS LIMITED,26/08/2023,IN-234306,0020115070000008133,27039.25,4326.28
DPL FESTIVE  LIMITED,27/08/2023,5396907,0020108540000256628,2780.75,444.92
WEETABIX E.A LTD,29/08/2023,IF2308000360,0110396600000011332,11349.63,1815.94
WEETABIX E.A LTD,29/08/2023,IL230800047,0110396600000011335,148869.38,23819.1
254 BREWING COMPANY LIMITED,23/08/2023,INV-015147,0190443080000003063,17896.56,2863.45
GILANI GOURMET LTD,30/08/2023,22148,0110672010000004296,2000.0,320.0
KENCHIC FROZEN,30/08/2023,KSIN4689597,0020594590000080590,15312.31,2449.97
DOMAINE KENYA LTD,29/08/2023,000431,0430835760000000431,50314.69,8050.35
KIRICHWA WATER LIMITED,29/08/2023,1451,0090179440000001451,11207.0,1793.12
SANGARE GARDENS  LTD,26/08/2023,SGL/INV/AUG23/001201,0172168790000003501,7670.88,1227.34
SOYS LIMITED,29/08/2023,2094343,0040092680000021154,23017.25,3682.76
JAK INDUSTRIES LTD 2ND ACC SR,09/08/2023,26621,0430205880000001493,121698.88,19471.82
FARMERS CHOICE LTD,28/08/2023,SI+N000296476,0090541490000064029,199783.06,31965.29
TWIRL ENTERPRISES LTD,23/08/2023,3989,0190178920000001580,206103.44,32976.55
BOWIP AGENCIES LTD,29/08/2023,169724,0020115770000006173,6355.63,1016.9
NORDA INDUSTRIES LTD.,29/08/2023,INV202312563,0110396260000019165,8515.88,1362.54
TWIRL ENTERPRISES LTD,23/08/2023,4001,0190178920000001579,44956.88,7193.1
KENYA WINE AGENCIES KWAL,22/08/2023,0000459220,0110144790000014210,40622.88,6499.66
KENAFRIC BAKERY LTD,30/08/2023,955398,0010195680000098844,732.0,117.12
AQUAMIST LIMITED,29/08/2023,90234212,0110392400000070739,33681.63,5389.06
BLUE BUBBLE HOMECARE PRODUCTS,16/08/2023,BB-12923,0040421360000008732,60897.19,9743.55
GITHUNGURI DAIRY FARMERS,29/08/2023,P1871193/INV,0190431800000202317,1663.56,266.17
NORDA INDUSTRIES LTD.,29/08/2023,INV202312561,0110396260000019163,7565.44,1210.47
TROPICAL HEAT LTD,29/08/2023,536750,0020001120000034629,23290.81,3726.53
UNGA LTD,30/08/2023,910097888,0040095900000012725,2312.19,369.95
